0,1,2,3,4,5,6,7,8
step,street_name,co,co2,noise,num_veh,ped,hc_emission,nox_emission
5,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
10,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
15,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
20,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
25,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
30,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
35,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
40,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
45,8th Avenue,109.42267261227269,26853.691034136456,75.47270010816219,3,(),0.5210647012656872,180.43301750866422
50,8th Avenue,41.34260377603719,27882.204508335068,77.57575542567463,2,(),7.758440064777894,212.0243650650499
55,8th Avenue,35.237565121452654,3889.1770064502466,64.99459940150972,1,(),0.2501841175856505,1.470499725583111
60,8th Avenue,159.89154535550992,9985.539599968872,71.8661222065544,1,(),0.9693549119974852,4.3441650936977565
65,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
70,8th Avenue,145.70283176781345,6505.948891813417,69.82817722072389,1,(),0.8185105153219403,2.8559534680681993
75,8th Avenue,42.740068026638184,6377.813320033771,68.09392003921946,3,"('ped88',)",0.30979902968141265,2.256463935534843
80,8th Avenue,0.0,0.0,62.628570376069,4,"('ped88',)",0.0,0.0
85,8th Avenue,329.5555555555556,5249.444444444444,61.66140611728565,4,"('ped88',)",1.623888888888889,2.408888888888889
90,8th Avenue,494.33333333333337,7874.166666666666,61.960697165107355,4,"('ped88',)",2.4358333333333335,3.6133333333333333
95,8th Avenue,659.1111111111112,10498.888888888889,61.96088185340413,4,"('ped88',)",3.247777777777778,4.817777777777778
100,8th Avenue,364.0130756309247,22585.048944902795,74.27752929462892,4,"('ped88',)",2.191455102719373,9.409959585568078
105,8th Avenue,100.91444753741372,5686.558501895489,70.02361452775519,6,"('ped88',)",0.5871263540345486,2.1564730439279307
110,8th Avenue,110.17220399770906,5912.093288970638,67.49813179570835,4,"('ped88',)",0.6347154016697898,2.2815236059486708
115,8th Avenue,144.7465978056177,6262.575942401989,69.95634490837604,2,(),0.8081896987773122,2.74985076483067
120,8th Avenue,0.0,0.0,52.88840973108786,1,(),0.0,0.0
125,8th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
130,8th Avenue,136.1002261896448,8359.4572183163,70.16717846299633,1,"('ped161', 'ped165')",0.8204591517071738,3.6088040113201307
135,8th Avenue,302.77221978712504,19901.613489722855,72.30083059689869,6,"('ped161', 'ped165')",1.8451586426099489,8.15065246682899
140,8th Avenue,164.77535008456596,2624.7067446109986,62.01235551991906,8,"('ped161', 'ped165')",0.8119329241665566,1.2044338270002435
145,8th Avenue,329.5555555555556,5249.444444444444,64.8002981523107,8,"('ped161', 'ped165')",1.623888888888889,2.408888888888889
150,8th Avenue,823.886035423325,13123.592919690816,66.76096832407748,9,"('ped161', 'ped165')",4.059708681517648,6.022209742971123
155,8th Avenue,1318.2190027654951,20997.757253746182,65.87932413135566,9,"('ped161', 'ped165')",6.495540278109153,9.635541475977844
160,8th Avenue,1318.2222222222224,20997.777777777777,65.03173497468413,10,"('ped161', 'ped165')",6.495555555555556,9.635555555555555
165,8th Avenue,954.4797498439578,16801.38335799652,68.64201467138079,9,"('ped161', 'ped165')",4.74011970497279,7.632733630758183
170,8th Avenue,552.0773314786542,14547.45883706116,71.08204774937558,6,"('ped161', 'ped165')",2.854690739288375,6.3974664158841
175,8th Avenue,301.6727641530907,11092.545486669578,68.52442009796542,4,"('ped161', 'ped165')",1.6305136284917265,4.663042028012978
180,8th Avenue,184.60405190132587,10271.296571778272,71.42219119397528,4,"('ped161',)",1.08183234073182,4.300733649700695
185,8th Avenue,238.91415532660568,14087.35736317746,71.84509874526748,4,(),1.4242151417796003,6.025695376525709
190,8th Avenue,367.51268863240614,14377.32175423604,70.94867371764165,3,(),2.012812970378982,6.1804664437156696
195,8th Avenue,140.38856161089356,7859.049945303369,70.95884018193863,2,(),0.8275208724747443,3.414701060759164
200,8th Avenue,99.1579050551181,5850.3973550485625,66.8511767919047,1,(),0.5898472786199441,2.46721761525685
205,8th Avenue,394.4651871110568,22371.21553200297,74.41193693474278,3,(),2.331051113392223,9.668287727442346
210,8th Avenue,68.34962465590364,4548.061478884421,65.40562478322099,5,(),0.41717816172876504,1.8417618533711158
215,8th Avenue,0.0,0.0,62.6738296307782,5,(),0.0,0.0
220,8th Avenue,464.18814801546307,9094.743737592358,66.80645162299699,5,(),2.32698023261889,4.096039514266155
