0,1,2,3,4,5,6,7,8
step,street_name,co,co2,noise,num_veh,ped,hc_emission,nox_emission
5,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
10,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
15,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
20,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
25,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
30,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
35,West Drive,0.0,0.0,55.94027641010837,1,(),0.0,0.0
40,West Drive,0.0,0.0,60.91428172680247,1,(),0.0,0.0
45,West Drive,0.0,0.0,57.805179249402755,1,(),0.0,0.0
50,West Drive,0.0,0.0,59.27169881938758,1,(),0.0,0.0
55,West Drive,0.0,0.0,59.06008330987874,1,(),0.0,0.0
60,West Drive,0.0,0.0,58.66008376333619,1,(),0.0,0.0
65,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
70,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
75,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
80,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
85,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
90,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
95,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
100,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
105,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
110,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
115,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
120,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
125,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
130,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
135,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
140,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
145,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
150,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
155,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
160,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
165,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
170,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
175,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
180,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
185,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
190,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
195,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
200,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
205,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
210,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
215,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
220,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
225,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
230,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
235,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
240,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
245,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
250,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
255,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
260,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
265,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
270,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
275,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
280,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
285,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
290,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
295,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
300,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
305,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
310,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
315,West Drive,0.0,0.0,0.0,0,(),0.0,0.0
320,West Drive,0.0,0.0,59.00472734147637,1,(),0.0,0.0
325,West Drive,0.0,0.0,61.90241418418572,1,(),0.0,0.0
