0,1,2,3,4,5,6,7,8
step,street_name,co,co2,noise,num_veh,ped,hc_emission,nox_emission
5,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
10,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
15,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
20,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
25,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
30,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped53',)",0.0,0.0
35,West 57th Street,0.0,0.0,61.71069838326482,1,"('ped53',)",0.0,0.0
40,West 57th Street,0.0,0.0,62.14663175761512,1,"('ped53',)",0.0,0.0
45,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped53',)",0.0,0.0
50,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped80', 'ped53')",0.0,0.0
55,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped80', 'ped53')",0.0,0.0
60,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped80', 'ped53')",0.0,0.0
65,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped42', 'ped80', 'ped53')",0.0,0.0
70,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped42', 'ped80', 'ped53')",0.0,0.0
75,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped42', 'ped80', 'ped53')",0.0,0.0
80,West 57th Street,85.29103303377624,5335.298701211379,66.04980521991317,1,"('ped42', 'ped80', 'ped53')",0.513890781766476,2.215267699485564
85,West 57th Street,31.787290043693183,2190.688075373529,61.10345225604108,1,"('ped42', 'ped80')",0.19215640072953602,0.7611075075134834
90,West 57th Street,0.0,0.0,55.91781396075345,1,"('ped42', 'ped80')",0.0,0.0
95,West 57th Street,164.7777777777778,2624.722222222222,55.94029853013065,1,"('ped42', 'ped80')",0.8119444444444445,1.2044444444444444
100,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped103', 'ped42', 'ped80')",0.0,0.0
105,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped103', 'ped42', 'ped80')",0.0,0.0
110,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped103', 'ped42')",0.0,0.0
115,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped103', 'ped42')",0.0,0.0
120,West 57th Street,39.94243323961961,3293.0524936589127,65.39324996330814,2,"('ped214', 'ped103')",0.2566290077872357,1.2423326157568821
125,West 57th Street,0.0,0.0,55.85333132259209,2,"('ped214', 'ped103')",0.0,0.0
130,West 57th Street,164.7777777777778,2624.722222222222,58.94904950171775,2,"('ped214', 'ped103')",0.8119444444444445,1.2044444444444444
135,West 57th Street,329.5555555555556,5249.444444444444,58.95058189676432,2,"('ped214', 'ped103')",1.623888888888889,2.408888888888889
140,West 57th Street,329.5555555555556,5249.444444444444,58.95058189676432,2,"('ped214', 'ped103')",1.623888888888889,2.408888888888889
145,West 57th Street,329.5555555555556,5249.444444444444,58.95058189676432,2,"('ped214', 'ped103')",1.623888888888889,2.408888888888889
150,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped214', 'ped103')",0.0,0.0
155,West 57th Street,0.0,0.0,4.771212547196624,0,"('ped214', 'ped103')",0.0,0.0
160,West 57th Street,0.0,0.0,59.78927501766344,1,"('ped214',)",0.0,0.0
165,West 57th Street,45.781099393063265,4083.922617861708,65.41551826504046,2,"('ped214',)",0.3029340541869919,1.5841138487241446
170,West 57th Street,0.0,0.0,56.68932194723408,2,"('ped214',)",0.0,0.0
175,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,"('ped214',)",1.623888888888889,2.408888888888889
180,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,(),1.623888888888889,2.408888888888889
185,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,(),1.623888888888889,2.408888888888889
190,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,(),1.623888888888889,2.408888888888889
195,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
200,West 57th Street,0.0,0.0,62.13714156965105,1,(),0.0,0.0
205,West 57th Street,0.0,0.0,4.771212547196624,0,(),0.0,0.0
210,West 57th Street,0.0,0.0,62.175709176830495,1,(),0.0,0.0
215,West 57th Street,38.153892842707705,2739.4868338367246,62.68317948177799,2,(),0.2347512205920732,1.007366004408153
220,West 57th Street,40.267497961651394,2443.0059154029113,62.38103649933372,2,(),0.2370755421751647,0.8883804803041179
225,West 57th Street,164.7777777777778,2624.722222222222,58.83152062125852,2,(),0.8119444444444445,1.2044444444444444
230,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,(),1.623888888888889,2.408888888888889
235,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,(),1.623888888888889,2.408888888888889
240,West 57th Street,329.5555555555556,5249.444444444444,61.74463016010887,3,(),1.623888888888889,2.408888888888889
245,West 57th Street,409.0661357965065,8021.799127858938,64.9454061798229,5,(),2.048414467887401,3.5257309846539657
250,West 57th Street,408.23690055872595,7556.6431317994975,64.2695790834646,5,(),2.0332884981569306,3.3240028420881917
255,West 57th Street,364.1423751779605,7791.044272001145,64.07779404531644,3,(),1.8365617172588544,3.3541332690572734
260,West 57th Street,0.0,0.0,58.777033153221765,2,(),0.0,0.0
265,West 57th Street,329.5555555555556,5249.444444444444,58.95058742677341,2,(),1.623888888888889,2.408888888888889
270,West 57th Street,21.71200430132366,2483.6282282848115,63.499789123131706,3,(),0.1534987510110824,0.8558975731308682
275,West 57th Street,185.88330026038128,5449.452606571168,64.80934189615498,4,(),0.9712046951069876,2.1983357069517093
