node_id||type||coordinate||incoming_edge_id||outgoing_edge_id
4872879376||priority||(2480.47, 3864.55)||-132500859#3 132500859#2 495547964#2 ||-132500859#2 132500859#3 495547964#3 
cluster_246858449_246866830_4143812552_42449613_5813259934||traffic_light||(2496.34, 3846.0)||-132500859#4 132500859#3 196117059#1 420772654#2 421832645#1 495535805#0 614570461#1 ||-132500859#3 -196117059#1 132500859#4 222299274#0 413050335#0 475867321#0 495535805#1 614570466#1 
4872879378||priority||(2476.31, 3842.42)||-132500859#5 132500859#4 495547965#0 ||-132500859#4 132500859#5 495547965#1 
5216346767||priority||(2454.59, 3725.72)||-132500859#6 132500859#5 539006740#3 ||-132500859#5 132500859#6 539006737#0 
cluster_246858435_246866810_42429570_4872753358||traffic_light||(2478.16, 3707.38)||-132500859#7 -46160106#1 132500859#6 420809425#1 420809440#1 46165812#1 495535788#0 ||-132500859#6 -46165812#1 132500859#7 195743228#0 222299273#0 46160106#1 495535788#1 
5836025489||priority||(2449.43, 3701.81)||-132500859#8 132500859#7 614855506#0 ||-132500859#7 132500859#8 614855506#1 
5813280748||priority||(2421.15, 3562.68)||-132500859#9 132500859#8 614573616#0 ||-132500859#8 132500859#9 614573616#1 
cluster_246866806_373880031_4143835081_42453395_5813280738_5813280739_5813280740_5813280746||traffic_light||(2436.65, 3543.0)||132500859#9 195743197#2 195743264#3 222299273#3 431594701#6 44225576#5 614572150#2 614573613#1 614573616#1 ||-132500859#9 -195743197#2 -431594701#6 195743227#1 438900013#1 614570459#1 614573613#3 614573616#3 
589099740||traffic_light||(6053.84, 7055.46)||-134484061#1 46201645#0 547071862 ||-134484061#0 134484061#1 46201645#1 
607932386||right_before_left||(6022.07, 6994.6)||-134484061#0 226193916#1 ||-226193916#1 540722276#0 547071862 
42449691||traffic_light||(6024.03, 7069.64)||134484061#1 169383518#1 ||-134484061#1 169383518#2 5671719#0 
42434427||traffic_light||(3760.65, 8017.98)||-36806903 139919706 589494596 ||-139919706 -542096280 36806903 
1533280147||traffic_light||(3798.86, 8092.75)||-139919706 46492639 542255948#4 ||139919706 139919714#0 542255948#5 
1538237359||priority||(3789.05, 3070.61)||-140391514#1 -140391516#0 140391514#0 385101418 ||-140391514#0 140391514#1 140391516#0 
1538237300||priority||(3728.65, 3056.79)||-140391514#0 ||140391514#0 
3884569919||priority||(3831.58, 3080.38)||-140391514#2 140391514#1 385101417 ||-140391514#1 140391514#2 
1538237508||priority||(3833.39, 3080.77)||140391514#2 ||-140391514#2 
1754823270||right_before_left||(3791.41, 3060.07)||-140391516#1 140391516#0 ||-140391516#0 140391516#1 163806016 
1538237310||right_before_left||(3793.87, 3049.18)||-140391516#2 140391516#1 140391518 ||-140391516#1 -140391518 140391516#2 
4382842396||priority||(3797.34, 3033.73)||-140391516#3 140391516#2 386527150#0 ||-140391516#2 140391516#3 386527150#1 
1538237325||priority||(3799.34, 3025.78)||-5671197#3 140391516#3 5671197#2 ||-140391516#3 -5671197#2 19726366 5671197#3 
1538237463||priority||(3733.64, 3035.85)||-140391518 ||140391518 
3658821413||priority||(2956.91, 3220.23)||-140391522#3 140391522#2 361401709 ||-140391522#2 -361401709 140391522#3 
cluster_1429415831_1538237395_4143875728_4143875730_42428391_4741363707_4741363708_4741363709_4878838721||traffic_light||(2891.33, 3279.54)||-140391522#2 -222299275#1 388318981#1 496162954#1 496162968#2 496162969#0 496162972#0 496162983#0 496162984#0 5673530#0 ||-388318981#1 -5673530#0 140391522#2 222299275#1 46116326#3 496162968#1 496162968#3 496162969#1 496162972#1 496162983#1 496162984#2 
1538237434||right_before_left||(2990.38, 3193.92)||-140391522#4 140391522#3 46160365#8 ||-140391522#3 140391522#4 46160365#9 
5487748079||priority||(3057.98, 3150.3)||-140391522#5 -570833432 140391522#4 ||-140391522#4 140391522#5 570833432 
1538237248||right_before_left||(3101.71, 3122.09)||-388167519 140391522#5 526839040#3 ||-140391522#5 388167518 388167519 
cluster_3834459531_3946500928_3946500932_42455915||traffic_light||(5886.04, 7054.84)||-144001605#4 -381480256#4 144001605#1 229904064#94 381480256#1 527874595#1 527874596 ||-144001605#1 -381480256#1 144001605#3 229904064#95 381480256#4 527874595#2 
cluster_3834459542_3946500927_3946500933_42434974_5130933105_5130933119||traffic_light||(5847.13, 6988.59)||-144001605#1 144001606#1 229904064#91 429898266#0 527855909#0 527855922#1 527855924#0 5670317#1 ||-144001606#1 144001605#1 229904064#92 429898266#1 527855909#1 527855922#2 527855924#1 5670317#5 
3948577931||priority||(5911.95, 7103.49)||-420872177 144001605#3 391634111 ||-144001605#4 420872177 
cluster_3833447069_3932847283_3932847289_3932847290_3932847294_42445390_5131026390||traffic_light||(5805.07, 6912.92)||-144001606#1 -556075521 222299276#6 229904064#85 420872205#1 426651389#0 527867877#0 527867881#0 527867887#1 ||-222299276#7 -68668529#0 144001606#1 229904064#88 426651389#2 527867877#1 527867881#1 527867887#2 556075521 
1577321470||priority||(5878.31, 7149.36)||-420872210 144150484 368938760#0 ||-144150484 -368938760#0 368938760#1 
1577321467||priority||(5915.11, 7219.36)||-144150484 453367786#3 ||144150484 453367786#4 
42488910||priority||(5614.31, 2295.44)||-154513051#1 232270198#2 5676294 ||-154513051#0 -232270198#2 154513051#1 
42473937||priority||(5540.17, 2232.96)||-154513051#0 -232270198#2 232270198#1 ||-232270198#1 232270198#2 5676294 
1261487238||priority||(5650.33, 2273.67)||154513051#1 ||-154513051#1 
4189890190||priority||(5793.64, 5513.34)||-154867900#1 154867900#0 430380397#1 ||-154867900#0 154867900#1 528793265#0 
cluster_4161569152_42437826_5137978706_5145531511_5145531517||priority||(5785.22, 5511.54)||-154867900#0 -154867900#2 154867900#1 32936245#0 32937066#0 46211851#4 528793265#0 5670621#11 ||-154867900#1 -46211851#4 154867900#0 154867900#2 32936385#0 528793265#2 529741034#0 587355679 
5145531515||right_before_left||(5816.13, 5540.81)||-442439749#5 154867900#2 442439749#4 ||-154867900#2 -442439749#4 442439749#5 
42440548||priority||(3901.34, 5201.88)||-317400961 5670897#2 ||-157012390 5670897#3 
3236571730||priority||(3812.88, 5060.14)||-157012390 157012386#7 481672088#1 ||-317400961 157012386#8 
1692433924||priority||(3746.66, 5101.8)||157012386#6 157012395 317400962#4 ||-157012393 -317400962#4 157012386#7 
1692433936||priority||(3836.3, 5242.81)||-157012393 5670897#3 ||157012395 197582873#0 5670897#4 
cluster_42422026_5215013202||traffic_light||(2275.94, 3289.96)||-5669013#0 157405685 205415837#1 226193928#2 538836215#0 ||-157405685 -205415837#1 -226193928#2 538836215#1 5669013#0 
889298452||right_before_left||(2286.56, 3327.17)||-157405685 -75311776#0 75311776#1 ||-75311776#1 157405685 75311776#0 
1728266858||priority||(5893.15, 6062.63)||160801658 ||-160801658 
1728266910||right_before_left||(5776.52, 6089.03)||-160801658 -354393802#2 354393802#1 ||-354393802#1 160801658 354393802#2 
1730318428||right_before_left||(3606.0, 3420.87)||-161026133#1 161026131 161026133#0 ||-161026131 -161026133#0 161026133#1 
1730318397||priority||(3556.34, 3434.04)||-161026131 ||161026131 
1730318401||priority||(3614.82, 3451.41)||-161026133#0 ||161026133#0 
cluster_1730318417_4885969252||priority||(3546.09, 3378.08)||-5671212#5 161026133#1 496947728#0 5671212#4 ||-161026133#1 -5671212#4 496947728#1 5671212#5 
588455870||priority||(3770.64, 3142.65)||-414744167#5 163806028 414744167#4 ||-163806028 -414744167#4 414744167#5 
1754823149||priority||(3709.02, 3137.38)||-163806028 46154325 ||140812548#0 163806028 
42432184||traffic_light||(4076.68, 4192.21)||-165777195#1 165777195#0 5670079 ||-165777195#0 165777195#1 5670084#0 
cluster_1773076511_1773076513_1773076514_42429752||traffic_light||(4103.02, 4278.51)||-165777195#0 -5669892#0 112116234#1 420354141 ||165777195#0 421827963 505772014 5669892#0 
42437589||traffic_light||(4042.57, 4082.29)||-165777195#2 165777195#1 439842831#3 ||-165777195#1 165777195#2 439842831#4 
cluster_42437580_5161246305||traffic_light||(3997.49, 3950.02)||-165777195#3 165777195#2 531733220 5671339#0 ||-165777195#2 165777195#3 5671339#2 
4202950101||priority||(3987.76, 3944.88)||-420355081 165777195#3 531733226#0 ||-165777195#3 420355081 531733226#1 
42445603||traffic_light||(4074.32, 3916.6)||-464964299 166038132 430820840#1 ||-166038132 464964299 5671339#0 
1775260897||priority||(4052.41, 3863.27)||-166038132 453323025 ||166038132 166038145#0 
42439972||traffic_light||(4617.13, 8185.91)||-195743344 167922070 5673323#2 ||-167922070 195743209 195743344 
42437363||traffic_light||(4658.33, 8260.0)||-167922070 -525729008#1 167922076 569345544 ||-167922076 -569345544 167922070 525729008#0 
4544917702||right_before_left||(4834.87, 8164.77)||-167922072#1 167922072#0 ||-167922072#0 167922072#1 458501696 
42430333||traffic_light||(4898.83, 8130.21)||-167922072#0 113722986#4 448686048 511699183#3 ||-511699183#3 127693103#0 167922072#0 
1752946324||priority||(4772.71, 8198.36)||-167922072#2 163630203 167922072#1 ||-167922072#1 167922072#2 
42428287||traffic_light||(4703.51, 8235.83)||-167922076 -35027229 167922072#2 477374247#2 ||-167922072#2 -477374247#2 167922076 35027229 
42442948||traffic_light||(6101.31, 7937.88)||-169267542#1 169267542#0 5673063#0 ||-169267542#0 169267542#1 5673063#3 
42442949||traffic_light||(6140.21, 8009.46)||-169267542#0 226041006#4 ||169267542#0 
42434090||traffic_light||(6065.01, 7870.35)||-169267542#2 169267542#1 46522001#1 ||-169267542#1 169267542#2 46522001#2 
42442947||traffic_light||(6026.75, 7799.85)||-420901664 169267542#2 5671192#0 ||-169267542#2 169267542#3 5671192#2 
483978195||priority||(5456.1, 3315.8)||171846438 ||-171846438 40174795 
436764914||right_before_left||(5482.82, 3367.17)||-171846438 -442439749#21 442439749#20 ||-442439749#20 171846438 442439749#21 
42500008||priority||(4916.65, 2303.11)||-177127305 177127289 239626771 ||-177127289 177127299#0 177127305 
42469361||priority||(4919.33, 2378.46)||-177127289 23168586#1 5681399#1 ||-5681399#1 177127289 177127292#0 
42503949||priority||(4913.09, 2201.48)||177127305 ||-177127305 
1991212114||priority||(5874.53, 5006.71)||25167167 ||-188494945 
3624790934||priority||(5806.35, 5022.15)||-188494945 -5670512#1 477151469#8 5670512#0 ||-477151469#8 -5670512#0 25167167 5670512#1 
42431635||priority||(2340.88, 4023.41)||160783043#0 194923760 5671307#4 ||-194923760 -5671307#4 160783043#1 
cluster_42431630_5815643306||priority||(2412.91, 3978.93)||-194923760 584971513 614901562#1 ||-584971513 194923760 5671457#1 614901562#2 
4161569114||priority||(5702.04, 4808.02)||-194923762#1 194923762#0 502760350#0 ||-194923762#0 194923762#1 502760350#1 
42430942||traffic_light||(5693.51, 4812.67)||-194923762#0 -477151469#0 194923763#1 25167210#10 ||-194923763#1 -25167210#10 194923762#0 477151469#0 
4301088424||priority||(5738.13, 4788.18)||-194923762#2 194923762#1 502760347#0 ||-194923762#1 194923762#2 502760347#1 
274342024||right_before_left||(5749.58, 4782.1)||194923762#2 25167444 ||-194923762#2 584971529 
42421828||right_before_left||(5604.42, 4861.48)||-194923763#1 194923763#0 5668983#1 ||-194923763#0 194923763#1 
42430938||traffic_light||(5491.85, 4921.99)||-194923763#0 -477151468#0 25166891#4 5672646#5 ||-25166891#4 -5672646#5 194923763#0 477151468#0 
cluster_42439001_4298757027_4298757049_4298757051_4298757069_4298781040_595655123||traffic_light||(5446.43, 5320.74)||-194923764#4 194923764#1 430610043#0 430610060#0 430610060#2 430610066#0 430612689#0 529741033#3 552734861#3 5670756#11 5672621#21 ||-194923764#1 -5672621#21 194923764#4 430610043#1 430610060#1 430610060#3 430610066#1 430612689#1 529741033#5 552734861#4 
cluster_42439006_4298757036_4298757048_4298757077_4298781041_595655124||traffic_light||(5248.86, 5425.66)||-194923764#1 430610040#0 430610074#0 430610075#0 430612687#0 529741033#6 584971531#4 68668526#1 ||-584971531#4 -68668526#1 194923764#1 430610040#1 430610074#1 430610075#1 430612687#1 529741033#7 5670756#2 
cluster_4806876056_4806876057_4806876058||priority||(5501.41, 5296.0)||-194923764#5 194923764#4 430610049#1 529741033#1 ||-194923764#4 194923764#5 430610049#2 529741033#2 
cluster_1989931103_1989931124_4298757079||priority||(5601.19, 5242.26)||-194923764#6 194923764#5 430610049#0 529741033#0 552734861#4 ||-194923764#5 194923764#6 430610049#1 529741033#1 552734861#5 
cluster_4161568811_4161568813_4161568816_4161568819_42440754||traffic_light||(5644.84, 5208.81)||-25166922#1 -438381568#1 194923764#6 418604580#0 430389973#0 430389974#0 430389982#0 440681436#1 552734861#5 ||-194923764#6 -440681436#1 25166922#1 418604580#1 430389973#1 430389974#1 430389982#1 438381568#1 552734861#6 
42448714||traffic_light||(5684.56, 5982.89)||194923765 420872199#1 46201650#2 ||-194923765 -420872199#1 162041587#0 
5137747688||priority||(5712.28, 5977.79)||-194923765 -528755490#0 -528755493#0 32938997#3 ||162041588#0 194923765 528755490#0 528755493#0 
42432099||traffic_light||(4562.05, 3997.2)||-194923768#2 194923768#1 315174425#3 ||-194923768#1 194923768#2 39956200 
cluster_42452084_5041369235_5041369239||traffic_light||(4523.19, 3893.73)||-194923768#1 -194923770#0 516426547#0 533820529#0 5673410#1 68668559#8 ||-496977101#0 -68668559#8 194923768#1 194923770#0 516426547#1 533820529#1 
3314293725||priority||(4593.02, 4078.38)||-194923768#3 194923768#2 514021977 ||-194923768#2 194923768#3 
cluster_42429773_486867513||traffic_light||(4600.5, 4097.95)||-46201668#0 194923768#3 420354145 421827960 ||-194923768#3 231393429 40337681 421826773 
5173625924||priority||(5367.62, 3572.84)||-420884506#0 194923769#0 533242570#0 ||-194923769#0 194923769#1 533242570#1 
5041369237||priority||(4532.17, 3888.31)||-420354362#0 194923770#0 533820522#0 ||-194923770#0 194923770#1 533820522#1 
5804713758||priority||(5217.16, 3629.99)||-194923773#3 194923773#2 613493180#0 ||-194923773#2 194923773#3 613493180#1 
cluster_42445630_5377706585_5377706588_5804713743_592405093_592405108||traffic_light||(5169.26, 3644.16)||-194923773#2 439842820#2 46154281#2 613493205#3 613493210#0 613493214#0 ||-439842820#2 -46154281#2 194923773#2 46348791#0 5671343#1 613493210#1 613493214#1 613493220#1 
42427742||traffic_light||(5223.46, 3627.61)||-194923774#0 -481962592#0 194923773#3 46348791#2 5669662#1 ||-194923773#3 194923774#0 481962592#0 
5804713763||priority||(5231.16, 3624.73)||-194923774#1 -481962592#1 194923774#0 481962592#0 613493190#0 ||-194923774#0 -481962592#0 194923774#1 481962592#1 613493190#1 
5377706592||priority||(5290.7, 3602.34)||-194923774#2 -481962592#2 194923774#1 481962592#1 613493203#0 ||-194923774#1 -481962592#1 194923774#2 481962592#2 613493203#1 
42452117||traffic_light||(5302.53, 3597.89)||-481962592#3 -5672093#0 194923774#2 481962592#2 ||-194923774#2 -481962592#2 481962592#3 5672093#0 
42427750||right_before_left||(5249.83, 3326.13)||194923775 5673073#8 ||-194923775 46348790 
42427747||right_before_left||(5241.34, 3401.27)||-194923775 -46348787#0 226040987 ||194923775 46348787#0 
4885904498||priority||(3468.66, 3071.67)||-194923778#1 194923778#0 496944684#0 ||-194923778#0 194923778#1 496944684#1 
cluster_42422283_4885904496||traffic_light||(3470.64, 3083.9)||-194923778#0 -524361790 414743582#1 46154297#1 496944685#1 ||-414743582#1 194923778#0 496944685#2 524361790 5670703#0 
cluster_3898690192_42433229_5362212155||traffic_light||(3408.51, 3004.93)||-438366913#0 194923778#1 39956205#1 496944687#0 555830747#0 ||-194923778#1 438366913#0 496944687#1 555830747#1 
cluster_42444897_4557517554||traffic_light||(3120.06, 6569.65)||-196117075#0 194923791 46610722 5671261#3 ||-194923791 196117075#0 
42436439||traffic_light||(3143.02, 6556.73)||-194923791 350726031 458106348 ||-458106348 194923791 474634621#0 5670451#0 
4878781669||priority||(3362.69, 3748.84)||-194923798#2 194923798#1 496150722 ||-194923798#1 194923798#2 
cluster_42427300_4878851614_4878851615||traffic_light||(3424.53, 3707.62)||-194923798#1 414751576#7 421825694#0 496165303#0 496165316 ||-414751576#7 125436141#0 194923798#1 496165303#1 
42445466||traffic_light||(3350.57, 3756.13)||194923798#2 256902831 46139039#6 ||-194923798#2 194923776#0 
