0,phase,state,switch
10,phase,state,switch
20,phase,state,switch
30,phase,state,switch
40,phase,state,switch
50,phase,state,switch
60,phase,state,switch
70,phase,state,switch
80,phase,state,switch
90,phase,state,switch
100,phase,state,switch
110,phase,state,switch
120,phase,state,switch
130,phase,state,switch
140,phase,state,switch
150,phase,state,switch
160,phase,state,switch
170,phase,state,switch
180,phase,state,switch
190,phase,state,switch
200,phase,state,switch
210,phase,state,switch
220,phase,state,switch
230,phase,state,switch
240,phase,state,switch
250,phase,state,switch
260,phase,state,switch
270,phase,state,switch
280,phase,state,switch
290,phase,state,switch
300,phase,state,switch
310,phase,state,switch
320,phase,state,switch
330,phase,state,switch
340,phase,state,switch
350,phase,state,switch
360,phase,state,switch
370,phase,state,switch
380,phase,state,switch
390,phase,state,switch
400,phase,state,switch
410,phase,state,switch
420,phase,state,switch
430,phase,state,switch
440,phase,state,switch
450,phase,state,switch
460,phase,state,switch
470,phase,state,switch
480,phase,state,switch
490,phase,state,switch
500,phase,state,switch
510,phase,state,switch
520,phase,state,switch
530,phase,state,switch
540,phase,state,switch
550,phase,state,switch
560,phase,state,switch
570,phase,state,switch
580,phase,state,switch
590,phase,state,switch
600,phase,state,switch
610,phase,state,switch
620,phase,state,switch
630,phase,state,switch
640,phase,state,switch
650,phase,state,switch
660,phase,state,switch
670,phase,state,switch
680,phase,state,switch
690,phase,state,switch
700,phase,state,switch
710,phase,state,switch
720,phase,state,switch
730,phase,state,switch
740,phase,state,switch
750,phase,state,switch
760,phase,state,switch
770,phase,state,switch
780,phase,state,switch
790,phase,state,switch
800,phase,state,switch
810,phase,state,switch
820,phase,state,switch
830,phase,state,switch
840,phase,state,switch
850,phase,state,switch
860,phase,state,switch
870,phase,state,switch
880,phase,state,switch
890,phase,state,switch
900,phase,state,switch
910,phase,state,switch
920,phase,state,switch
930,phase,state,switch
940,phase,state,switch
950,phase,state,switch
960,phase,state,switch
970,phase,state,switch
980,phase,state,switch
990,phase,state,switch
1000,phase,state,switch
1010,phase,state,switch
1020,phase,state,switch
1030,phase,state,switch
1040,phase,state,switch
1050,phase,state,switch
1060,phase,state,switch
1070,phase,state,switch
1080,phase,state,switch
1090,phase,state,switch
1100,phase,state,switch
1110,phase,state,switch
1120,phase,state,switch
1130,phase,state,switch
1140,phase,state,switch
1150,phase,state,switch
1160,phase,state,switch
1170,phase,state,switch
1180,phase,state,switch
1190,phase,state,switch
1200,phase,state,switch
1210,phase,state,switch
1220,phase,state,switch
1230,phase,state,switch
1240,phase,state,switch
1250,phase,state,switch
1260,phase,state,switch
1270,phase,state,switch
1280,phase,state,switch
1290,phase,state,switch
1300,phase,state,switch
1310,phase,state,switch
1320,phase,state,switch
1330,phase,state,switch
1340,phase,state,switch
1350,phase,state,switch
1360,phase,state,switch
1370,phase,state,switch
1380,phase,state,switch
1390,phase,state,switch
1400,phase,state,switch
1410,phase,state,switch
1420,phase,state,switch
1430,phase,state,switch
1440,phase,state,switch
1450,phase,state,switch
1460,phase,state,switch
1470,phase,state,switch
1480,phase,state,switch
1490,phase,state,switch
1500,phase,state,switch
1510,phase,state,switch
1520,phase,state,switch
1530,phase,state,switch
1540,phase,state,switch
1550,phase,state,switch
1560,phase,state,switch
1570,phase,state,switch
1580,phase,state,switch
1590,phase,state,switch
1600,phase,state,switch
1610,phase,state,switch
1620,phase,state,switch
1630,phase,state,switch
1640,phase,state,switch
1650,phase,state,switch
1660,phase,state,switch
1670,phase,state,switch
1680,phase,state,switch
1690,phase,state,switch
1700,phase,state,switch
1710,phase,state,switch
1720,phase,state,switch
1730,phase,state,switch
1740,phase,state,switch
1750,phase,state,switch
1760,phase,state,switch
1770,phase,state,switch
1780,phase,state,switch
1790,phase,state,switch
1800,phase,state,switch
1810,phase,state,switch
1820,phase,state,switch
1830,phase,state,switch
1840,phase,state,switch
1850,phase,state,switch
1860,phase,state,switch
1870,phase,state,switch
1880,phase,state,switch
1890,phase,state,switch
1900,phase,state,switch
1910,phase,state,switch
1920,phase,state,switch
1930,phase,state,switch
1940,phase,state,switch
1950,phase,state,switch
1960,phase,state,switch
1970,phase,state,switch
1980,phase,state,switch
1990,phase,state,switch
2000,phase,state,switch
2010,phase,state,switch
2020,phase,state,switch
2030,phase,state,switch
2040,phase,state,switch
2050,phase,state,switch
2060,phase,state,switch
2070,phase,state,switch
2080,phase,state,switch
2090,phase,state,switch
2100,phase,state,switch
2110,phase,state,switch
2120,phase,state,switch
2130,phase,state,switch
2140,phase,state,switch
2150,phase,state,switch
2160,phase,state,switch
2170,phase,state,switch
2180,phase,state,switch
2190,phase,state,switch
2200,phase,state,switch
2210,phase,state,switch
2220,phase,state,switch
2230,phase,state,switch
2240,phase,state,switch
2250,phase,state,switch
2260,phase,state,switch
2270,phase,state,switch
2280,phase,state,switch
2290,phase,state,switch
2300,phase,state,switch
2310,phase,state,switch
2320,phase,state,switch
2330,phase,state,switch
2340,phase,state,switch
2350,phase,state,switch
2360,phase,state,switch
2370,phase,state,switch
2380,phase,state,switch
2390,phase,state,switch
2400,phase,state,switch
2410,phase,state,switch
2420,phase,state,switch
2430,phase,state,switch
2440,phase,state,switch
2450,phase,state,switch
2460,phase,state,switch
2470,phase,state,switch
2480,phase,state,switch
2490,phase,state,switch
2500,phase,state,switch
2510,phase,state,switch
2520,phase,state,switch
2530,phase,state,switch
2540,phase,state,switch
2550,phase,state,switch
2560,phase,state,switch
2570,phase,state,switch
2580,phase,state,switch
2590,phase,state,switch
2600,phase,state,switch
2610,phase,state,switch
2620,phase,state,switch
2630,phase,state,switch
2640,phase,state,switch
2650,phase,state,switch
2660,phase,state,switch
2670,phase,state,switch
2680,phase,state,switch
2690,phase,state,switch
2700,phase,state,switch
2710,phase,state,switch
2720,phase,state,switch
2730,phase,state,switch
