0,1,2,3,4,5,6,7,8
step,street_name,co,co2,noise,num_veh,ped,hc_emission,nox_emission
5,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
10,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
15,6th Avenue,26.091356337137494,17570.62486076557,73.56856806930968,1,(),0.0,157.99177388566684
20,6th Avenue,219.34327066998253,59556.85305605653,80.49341496867372,3,(),7.3726372032202105,439.4418263516568
25,6th Avenue,0.0,0.0,66.44087068410485,4,(),0.0,0.0
30,6th Avenue,157.845537187913,14529.199707133099,73.06704639299983,2,(),6.307451811443891,102.51005849298978
35,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
40,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
45,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
50,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
55,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
60,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
65,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
70,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
75,6th Avenue,119.02680748454921,6715.0628582786785,68.30787394842301,1,(),0.7018237136971334,2.8807354723213954
80,6th Avenue,0.0,0.0,55.600856089462184,2,(),0.0,0.0
85,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped6',)",0.0,0.0
90,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped6',)",0.0,0.0
95,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped6',)",0.0,0.0
100,6th Avenue,285.02443495765027,14206.745316247445,72.8884823945137,2,"('ped6',)",1.6371536356384944,6.204945624723715
105,6th Avenue,153.08348083728686,8310.741756270952,71.34286346433372,3,"('ped128', 'ped6')",0.8965725721498191,3.6368531830582773
110,6th Avenue,0.0,0.0,61.80878916750099,1,"('ped128', 'ped6')",0.0,0.0
115,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped128', 'ped6')",0.0,0.0
120,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped128', 'ped6')",0.0,0.0
125,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped128', 'ped6')",0.0,0.0
130,6th Avenue,290.060540507726,18738.584624327697,74.03415315762008,2,"('ped128',)",1.7728456589128432,8.09077019295697
135,6th Avenue,101.72956996932498,7310.757550035937,68.90323275917488,2,"('ped128',)",0.638100566024278,3.0708605292717097
140,6th Avenue,36.63965553731826,4222.063330214863,66.38856409304184,2,"('ped128',)",0.26497887600863695,1.607785807745174
145,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped128',)",0.0,0.0
150,6th Avenue,0.0,0.0,63.017004313123465,1,"('ped128',)",0.0,0.0
155,6th Avenue,0.0,0.0,62.94106435907664,2,"('ped128',)",0.0,0.0
160,6th Avenue,0.0,0.0,61.17298396241061,2,(),0.0,0.0
165,6th Avenue,86.01376756363253,5774.940185553479,67.28070876419049,2,(),0.5281238891820164,2.3987751497714744
